            Australian Bureau of Statistics,,,,,,,,,
"General Social Survey, Summary Results, Australia, 2020",,,,,,,,,
Released at 11.30am (Canberra time) 29 June 2021,,,,,,,,,
"Table 3.3 Persons aged 15 years and over, Social Experiences–By Sex and Health Characteristics, proportion of persons",,,,,,,,,
,,,,,,,,,
,"Whether has a 
mental health condition",,,"Whether has 
a long term health condition",,,"Whether has 
disability",,
Fourth quintile,17.3,19.4,,14.7,23,,14.6,20.9,19.3
Highest quintile,16.3,18.3,,16,19.4,,8.8,21,17.9
,,,,,,,,,
Government support has been the main source of income in last 2 years,39.4,26.3,,38.6,20.1,,49.1,21.4,28.5
,,,,,,,,,
Females aged 15 years and over,100,100,,100,100,,100,100,100
,,,,,,,,,
Persons,,,,,,,,,
Community involvement,,,,,,,,,
Has undertaken unpaid voluntary work through an organisation in last 12 months,24.7,24.8,,26.4,23.6,,26,24.3,24.8
Has undertaken informal volunteering in last 4 weeks,28.6,32.6,,31.8,32.4,,29.6,33.1,32.1
Provided unpaid work/support to non-household members in last 4 weeks,46.7,49.6,,52.3,46.7,,48.4,49.5,49.2
,,,,,,,,,
Has been involved in groups in the last 12 months,,,,,,,,,
Social groups ,37.1,47.7,,47.5,45.3,,45.8,46.3,46.3
Community support groups,23,20.9,,23.6,19.2,,22.2,20.7,21.1
Civic and political groups,8.4,7.1,,9.3,5.5,,8.6,6.8,7.2
,,,,,,,,,
Feels able to have a say within community on important issues,,,,,,,,,
All of the time / Most of the time,20.3,30.7,,27.5,31,,28.7,29.7,29.4
Some of the time,22.9,29.9,,27.2,30.3,,25.1,30.4,28.9
A little of the time / None of the time,56.5,39.4,,45.3,38.8,,46,39.8,41.7
,,,,,,,,,
Family and community support,,,,,,,,,
Had face to face contact with family or friends living outside the household at least once a week in last 3 months,40.6,42.1,,43.2,40.9,,41,42.2,41.8
Had other forms of contact with family or friends living outside the household at least once a week in last 3 months,82.1,85.6,,83.8,86.1,,80.9,86.7,85.1
Able to get support in times of crisis from persons living outside the household,84.6,94.1,,90.7,94.3,,89.7,93.9,92.8
Has family or friends living outside the household to confide in,79.7,87.3,,85.5,86.8,,84.6,86.7,86.3
"Cared for a person with either a disability, long term health condition or old age in last 4 weeks",21.1,11.3,,17.6,8.4,,18.2,10.4,12.5
,,,,,,,,,
Cultural tolerance and discrimination,,,,,,,,,
Agrees that it is a good thing for society to be comprised of different cultures,83.7,85.5,,84.4,86.1,,81.1,86.8,85.4
Has experienced discrimination in last 12 months,20.8,12.3,,14.5,12.5,,15.8,12.4,13.3
,,,,,,,,,
Trust,,,,,,,,,
Feels most people can be trusted,,,,,,,,,
Strongly agree / Somewhat agree,58.3,61.9,,62.7,60.6,,59.7,62,61.4
Neither agree nor disagree,20.7,21.5,,17.7,24.1,,19.1,22,21.4
Somewhat disagree / Strongly disagree,21.5,16.7,,19.6,15.4,,20.6,16,17.3
,,,,,,,,,
Feels the healthcare system can be trusted,,,,,,,,,
Strongly agree / Somewhat agree,71.8,77.3,,76.7,76.4,,74.7,77.1,76.4
Neither agree nor disagree,14.9,14.4,,12.8,15.8,,13.2,14.9,14.4
Somewhat disagree / Strongly disagree,13.3,8.4,,10.7,7.9,,11.9,8,9
,,,,,,,,,
Feels police can be trusted,,,,,,,,,
Strongly agree / Somewhat agree,70.8,80.7,,78.9,79.6,,78.4,79.7,79.3
Neither agree nor disagree,14.8,11.6,,11.2,12.5,,12.2,11.9,11.9
Somewhat disagree / Strongly disagree,15.1,7.8,,9.8,7.9,,9.5,8.5,8.8
,,,,,,,,,
Feels the justice system can be trusted,,,,,,,,,
Strongly agree / Somewhat agree,54.4,64.2,,61.7,64.1,,57,65.1,62.9
Neither agree nor disagree,19.7,18.8,,17.9,19.8,,19.4,18.6,19
Somewhat disagree / Strongly disagree,25.5,17,,20.4,16.4,,23.1,16.2,18.1
,,,,,,,,,
Stressors,,,,,,,,,
Has experienced at least one personal stressor in last 12 months,83,55.6,,67.5,52.2,,68.8,55.2,58.9
Always or Often feels rushed for time,39.6,31.5,,31.7,33.3,,31.8,32.9,32.6
Always or Often has difficulty getting to the places needed,6.5,2.7,,4.5,2.3,,6.8,1.8,3.1
Has difficulty accessing service providers,31.7,19,,28.1,14.8,,29.3,17.2,20.6
,,,,,,,,,
Crime and safety,,,,,,,,,
Experienced physical or threatened assault in last 12 months,8.9,3.4,,5,3.4,,5.4,3.7,4.1
Experienced actual or attempted break-in in last 12 months,6.8,4.2,,5.3,4,,5.7,4.2,4.6
,,,,,,,,,
Health,,,,,,,,,
Self-assessed health status,,,,,,,,,
Excellent / Very good,29,58.1,,33.5,70.9,,27.4,64.7,54.3
Good,31.4,30.5,,38.7,24.2,,34.1,29.2,30.5
Fair / Poor,39.9,11.6,,27.9,5,,38.7,6.1,15.1
,,,,,,,,,
Whether currently smokes,,,,,,,,,
Currently smokes,16.8,9.1,,10.3,9.8,,9.9,10,10.1
Does not currently smoke,83.1,91.1,,89.8,90.2,,89.8,90,90
,,,,,,,,,
Age group,,,,,,,,,
15–24,17.5,14.8,,8,20.6,,7.5,18,15.1
25–39,28.9,27,,17.2,35,,14.2,32.2,27.2
40–54,24.8,23.8,,21.8,25.5,,21.6,24.7,23.8
55–69,20.3,20.5,,28.4,14.1,,29.3,17,20.5
70 years and over,9.8,14,,24.5,4.8,,27,8.3,13.5
,,,,,,,,,
Labour force status,,,,,,,,,
Employed,,,,,,,,,
Full-time,22.5,41,,27.4,47.3,,23.8,44.2,38.6
Part-time,26.3,21.5,,20.4,23.2,,17.7,23.7,22.1
Unemployed,6.6,4.1,,4.1,4.4,,4.7,4.3,4.4
Not in the labour force,45.4,33.5,,47.9,25.1,,53.5,27.9,35.1
,,,,,,,,,
Education,,,,,,,,,
Level of highest non-school qualification,,,,,,,,,
    Bachelor Degree or above,26.7,34.2,,28.6,37,,25.4,36.3,33.2
    Advanced Diploma/Diploma or below,36.5,30.3,,34.1,28.7,,33.5,30.2,31.1
    No non-school qualification,36.3,33.8,,36.1,32.5,,39.2,32.1,34.1
,,,,,,,,,
Engagement in employment or study,,,,,,,,,
Fully engaged,33,52.9,,34,63.3,,30.4,58.3,50.4
Partially engaged,24.2,17.1,,18.4,17.5,,15.5,18.8,17.9
Not engaged in study or employment,42.7,30.2,,47.6,19.1,,54.2,23,31.8
,,,,,,,,,
Family composition of household,,,,,,,,,
Couple family with dependant children,25.3,32.7,,21.8,40,,20.4,36.3,31.9
One parent family with dependant children,7.1,4.3,,4.4,4.9,,4.1,4.9,4.7
Couple only,24,28.6,,34.7,22.8,,33.8,25.8,28
Other one family households,15.4,12.7,,12.9,12.9,,15.5,12.2,13
Lone person,17.1,12.9,,18.7,9.2,,20.1,10.8,13.4
Other households,10.9,8.8,,7.6,10,,6.3,10.1,9
,,,,,,,,,
Marital status,,,,,,,,,
Married in a registered marriage,35.5,50.6,,51.2,46.4,,50.9,47.8,48.6
Married in a de facto marriage,13.6,11.6,,10.8,12.8,,9.3,12.8,11.8
Not married,51.1,37.9,,38.1,40.8,,39.6,39.6,39.6
,,,,,,,,,
Main Source of Household Income,,,,,,,,,
Employee income,58.9,68.1,,53.4,77.6,,46.1,74.8,66.9
Unincorporated business income,1.8,1.5,,1.6,1.7,,2,1.4,1.7
Government pensions and allowances,30.7,16.2,,28.7,9.8,,34.3,11.9,18.1
Other income,5.2,9.2,,13.4,5,,14,6.8,8.7
,,,,,,,,,
Current weekly household equivalised gross income quintiles,,,,,,,,,
Lowest quintile,22.3,17.4,,18.9,17.3,,21.6,16.6,18.1
Second quintile,22.1,17,,21.9,14.4,,25.4,14.6,17.7
Third quintile,18.6,18.7,,21.2,16.8,,20.2,18.2,18.8
Fourth quintile,17.1,21,,16.6,23.6,,15.4,22.4,20.5
Highest quintile,14.9,20.7,,16.9,22.3,,13.1,22.7,20
,,,,,,,,,
Government support has been the main source of income in last 2 years,43.2,22.8,,36.8,16.3,,43.4,18.2,25.3
,,,,,,,,,
Persons aged 15 years and over,100,100,,100,100,,100,100,100
,,,,,,,,,
© Commonwealth of Australia 2021,,,,,,,,,
